TYPE_ETABLISSEMENT_ANNEE_SCOLAIRE;LIBELLE_ETABLISSEMENT;ADRESSE;ARRONDISSEMENT;CODE_INSEE NUMBER;ANNEE_SCOLAIRE;TYPE_ETABLISSEMENT;GEO_SHAPE;GEO_POINT_2D
MATERNELLES (année scolaire 2022/2023);REUNION (91) MAT;91 RUE DE LA REUNION;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.4002559638159915, 48.856442689325206], ""type"": ""Point""}";48.856442689325206, 2.4002559638159915
MATERNELLES (année scolaire 2022/2023);LACHAMBEAUDIE (2) MAT;2 PLACE LACHAMBEAUDIE;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3863978230518272, 48.835561932249675], ""type"": ""Point""}";48.835561932249675, 2.3863978230518272
MATERNELLES (année scolaire 2022/2023);CLOYS (41) MAT;33 RUE DES CLOYS;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3382587769550267, 48.892933147554274], ""type"": ""Point""}";48.892933147554274, 2.3382587769550267
MATERNELLES (année scolaire 2022/2023);LONGCHAMP (130) MAT;130 RUE DE LONGCHAMP;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.2782542113508386, 48.86727564812386], ""type"": ""Point""}";48.86727564812386, 2.2782542113508386
MATERNELLES (année scolaire 2022/2023);LOUIS VIERNE (6) MAT;6 RUE LOUIS VIERNE;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.290018854657438, 48.888124404729375], ""type"": ""Point""}";48.888124404729375, 2.290018854657438
MATERNELLES (année scolaire 2022/2023);POISSONNIERS (142) POLY;142 RUE DES POISSONNIERS;18ème Ardt;75118;;Polyvalent;"{""coordinates"": [2.3530219082435435, 48.896813673292016], ""type"": ""Point""}";48.896813673292016, 2.3530219082435435
MATERNELLES (année scolaire 2022/2023);COURONNES (94) MAT;94 RUE DES COURONNES;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.3876725121646776, 48.870420609539615], ""type"": ""Point""}";48.870420609539615, 2.3876725121646776
MATERNELLES (année scolaire 2022/2023);MOSCOU (7) MAT;7 RUE DE MOSCOU;8ème Ardt;75108;2022-2023;Maternelle;"{""coordinates"": [2.3259924572838835, 48.88003521690321], ""type"": ""Point""}";48.88003521690321, 2.3259924572838835
MATERNELLES (année scolaire 2022/2023);TORCY (10-12) MAT;10 RUE DE TORCY;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3640416412674057, 48.8912764132004], ""type"": ""Point""}";48.8912764132004, 2.3640416412674057
MATERNELLES (année scolaire 2022/2023);DECAMPS (4) POLY;4 RUE DECAMPS;16ème Ardt;75116;;Polyvalent;"{""coordinates"": [2.2825335586619566, 48.865251799611215], ""type"": ""Point""}";48.865251799611215, 2.2825335586619566
MATERNELLES (année scolaire 2022/2023);LECOMTE (6) POLY;6 RUE LECOMTE;17ème Ardt;75117;;Polyvalent;"{""coordinates"": [2.321071444973094, 48.88867104666562], ""type"": ""Point""}";48.88867104666562, 2.321071444973094
MATERNELLES (année scolaire 2022/2023);ST MERRI (11) POLY;11 RUE SAINT MERRI;4ème Ardt;75104;;Polyvalent;"{""coordinates"": [2.352953080890981, 48.8593047674744], ""type"": ""Point""}";48.8593047674744, 2.352953080890981
MATERNELLES (année scolaire 2022/2023);DOMBASLE (28) POLY;28 RUE DOMBASLE;15ème Ardt;75115;;Polyvalent;"{""coordinates"": [2.2982071009745404, 48.835881038952365], ""type"": ""Point""}";48.835881038952365, 2.2982071009745404
