Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
COLLEGES (année scolaire 2022/2023);HENRI MATISSE;3 RUE VITRUVE;20ème Ardt;75120;2022-2023;Collège;;;;;"{""coordinates"": [2.401975118872313, 48.85645682794513], ""type"": ""Point""}";48.85645682794513, 2.401975118872313
4890;VERSAILLES (141) MAT;141 AVENUE DE VERSAILLES;16ème Ardt;75116;2022-2023;MAT;;;;;"{""coordinates"": [2.2680174330571736, 48.84212000885554], ""type"": ""Point""}";48.84212000885554, 2.2680174330571736
4890;GUSTAVE DORE (3) MAT;3 RUE GUSTAVE DORE;17ème Ardt;75117;2022-2023;MAT;;;;;"{""coordinates"": [2.3030123575132366, 48.886244964050015], ""type"": ""Point""}";48.886244964050015, 2.3030123575132366
4892;JENNER (46) ELEM B;46 RUE JENNER;13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.36087574556163, 48.83603938481635], ""type"": ""Point""}";48.83603938481635, 2.36087574556163
4892;BALANCHINE (8-10) POLY;8 RUE GEORGE BALANCHINE;13ème Ardt;75113;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3736445553251295, 48.836467195826174], ""type"": ""Point""}";48.836467195826174, 2.3736445553251295
4892;FOREST (14) POLY;14 RUE FOREST;18ème Ardt;75118;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3290873902091733, 48.885733364741284], ""type"": ""Point""}";48.885733364741284, 2.3290873902091733
4892;HERMEL (20) ELEM;20 RUE HERMEL;18ème Ardt;75118;2022-2023;ELE;;;;;"{""coordinates"": [2.3445130809929275, 48.89130095300317], ""type"": ""Point""}";48.89130095300317, 2.3445130809929275
4892;MATHIS (14) ELEM;14 RUE MATHIS;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.375498128730608, 48.890865288285724], ""type"": ""Point""}";48.890865288285724, 2.375498128730608
4892;MADAME (42) ELEM;42 RUE MADAME;6ème Ardt;75106;2022-2023;ELE;;;;;"{""coordinates"": [2.3316036092806876, 48.84894226433001], ""type"": ""Point""}";48.84894226433001, 2.3316036092806876
COLLEGES (année scolaire 2022/2023);PIERRE JEAN DE BERANGER;5 RUE BERANGER;3ème Ardt;75103;2022-2023;Collège;;;;;"{""coordinates"": [2.3642603834093108, 48.865016990354505], ""type"": ""Point""}";48.865016990354505, 2.3642603834093108
4890;CHAPON (25) MAT;25 RUE CHAPON;3ème Ardt;75103;2022-2023;MAT;;;;;"{""coordinates"": [2.3551721155360243, 48.86362012574478], ""type"": ""Point""}";48.86362012574478, 2.3551721155360243
4892;ALESIA (188) ELEM;188 RUE D'ALESIA;14ème Ardt;75114;2022-2023;ELE;;;;;"{""coordinates"": [2.3128098933727257, 48.83250682565385], ""type"": ""Point""}";48.83250682565385, 2.3128098933727257
