Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
ELEMENTAIRES (année scolaire 2022/2023);CAVE (11) ELEM;11 RUE CAVE;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.355167024686983, 48.886707348741396], ""type"": ""Point""}";48.886707348741396, 2.355167024686983
ELEMENTAIRES (année scolaire 2022/2023);LAFAYETTE (216 B) ELEM;216 bis RUE LAFAYETTE;10ème Ardt;75110;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3672825842629583, 48.88190322214652], ""type"": ""Point""}";48.88190322214652, 2.3672825842629583
ELEMENTAIRES (année scolaire 2022/2023);FAUBOURG ST DENIS (34) ELEM;34 RUE DU FAUBOURG SAINT DENIS;10ème Ardt;75110;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.353506735372658, 48.87111111278698], ""type"": ""Point""}";48.87111111278698, 2.353506735372658
ELEMENTAIRES (année scolaire 2022/2023);ST JACQUES (28) ELEM;28 RUE SAINT JACQUES;5ème Ardt;75105;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.345661862991428, 48.85133508348417], ""type"": ""Point""}";48.85133508348417, 2.345661862991428
ELEMENTAIRES (année scolaire 2022/2023);PIERRE BUDIN (5) ELEM;5 RUE PIERRE BUDIN;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3527287013006752, 48.889684350238106], ""type"": ""Point""}";48.889684350238106, 2.3527287013006752
ELEMENTAIRES (année scolaire 2022/2023);BELLEVILLE (236) ELEM;236 RUE DE BELLEVILLE;20ème Ardt;75120;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3981829889288093, 48.87535879101553], ""type"": ""Point""}";48.87535879101553, 2.3981829889288093
ELEMENTAIRES (année scolaire 2022/2023);AMIRAL ROUSSIN (35) ELEM;35 RUE DE L AMIRAL ROUSSIN;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.299626336508781, 48.84423314603248], ""type"": ""Point""}";48.84423314603248, 2.299626336508781
ELEMENTAIRES (année scolaire 2022/2023);MAURICE D'OCAGNE (7) ELEM;7 AVENUE MAURICE D'OCAGNE;14ème Ardt;75114;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3121556478273724, 48.82469959361119], ""type"": ""Point""}";48.82469959361119, 2.3121556478273724
ELEMENTAIRES (année scolaire 2022/2023);EPINETTES (42) ELEM;42 RUE DES EPINETTES;17ème Ardt;75117;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.323889402242462, 48.89681677443847], ""type"": ""Point""}";48.89681677443847, 2.323889402242462
ELEMENTAIRES (année scolaire 2022/2023);EMILE LEVASSOR (3) ELEM;3 RUE EMILE LEVASSOR;13ème Ardt;75113;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.369042817839281, 48.820889245438714], ""type"": ""Point""}";48.820889245438714, 2.369042817839281
